"0.000000	-2579.212158	-2815.380615	-7144.465820	38261.242188	29195.107422	-10095.633789	25954.730469	-9095.102539	0.000000	1726714089973.862061	0.000000"
"1.000000	4752.605957	6780.222168	7412.687012	43515.824219	29487.871094	4628.554199	31379.296875	-8952.811523	0.000000	1726714089977.545898	0.000000"
"2.000000	2719.089355	5702.845703	8544.042969	41150.519531	29391.109375	5522.601074	29843.867188	-8956.633789	0.000000	1726714089981.645020	0.000000"
"3.000000	-4617.690918	-3704.063477	-5184.508789	35744.191406	29093.318359	-8432.932617	24402.134766	-9093.493164	0.000000	1726714089985.326904	0.000000"
"4.000000	-4382.192871	-4867.940918	-9561.001953	36762.222656	29108.875000	-12601.218750	24614.363281	-9124.741211	0.000000	1726714089989.416016	0.000000"
"5.000000	3144.353516	4434.831543	3503.702637	42476.871094	29417.529297	749.006897	30208.111328	-8988.015625	0.000000	1726714089993.443115	0.000000"
"6.000000	4308.499512	7368.095215	10401.136719	42489.812500	29452.332031	7480.681152	31033.695312	-8932.090820	0.000000	1726714089997.039062	0.000000"
"7.000000	-2833.552734	-1217.857056	-1178.629639	36940.054688	29166.876953	-4398.487305	25714.136719	-9053.058594	0.000000	1726714090001.131104	0.000000"
"8.000000	-5600.988770	-6050.125000	-10569.847656	35617.320312	29058.716797	-13712.659180	23684.843750	-9133.390625	0.000000	1726714090004.753906	0.000000"
"9.000000	1129.813477	1752.957642	-681.079895	41087.484375	29357.179688	-3479.093262	28712.644531	-9017.788086	0.000000	1726714090008.824951	0.000000"
"10.000000	5270.004395	8155.994141	10773.696289	43476.933594	29519.050781	7916.741211	31749.576172	-8911.572266	0.000000	1726714090012.912109	0.000000"
"11.000000	-771.000977	1477.494873	2828.188232	38468.644531	29267.794922	-329.039978	27240.849609	-9005.785156	0.000000	1726714090016.565918	0.000000"
"12.000000	-6076.745605	-6180.145020	-10035.752930	35087.250000	29046.513672	-13263.791992	23318.052734	-9132.049805	0.000000	1726714090020.812012	0.000000"
"13.000000	-1035.936157	-1000.061646	-4672.005859	39450.535156	29248.082031	-7533.855957	27085.482422	-9073.309570	0.000000	1726714090024.439941	0.000000"
"14.000000	5320.362793	7764.123535	9388.000000	43768.355469	29503.494141	6595.417969	31771.837891	-8941.747070	0.000000	1726714090028.649902	0.000000"
"15.000000	1299.396118	4027.873291	6366.021973	40034.382812	29335.253906	3296.971436	28752.476562	-8985.265625	0.000000	1726714090032.433105	0.000000"
"16.000000	-5563.572266	-5156.748047	-7799.930664	35212.910156	29061.599609	-11047.147461	23658.960938	-9127.490234	0.000000	1726714090036.094971	0.000000"
"17.000000	-3059.931152	-3407.143066	-7883.481445	37878.691406	29166.140625	-10839.812500	25556.691406	-9119.108398	0.000000	1726714090040.154053	0.000000"
"18.000000	4394.732422	6206.698730	6438.575684	43285.757812	29473.185547	3695.815918	31083.115234	-8976.548828	0.000000	1726714090044.239990	0.000000"
"19.000000	3161.922119	6173.640625	9090.810547	41535.078125	29418.468750	6119.661133	30133.679688	-8963.272461	0.000000	1726714090047.822998	0.000000"
"20.000000	-4247.210938	-3139.123291	-4315.070801	36050.632812	29127.716797	-7554.978027	24627.037109	-9091.883789	0.000000	1726714090051.924072	0.000000"
"21.000000	-4730.343750	-5223.467773	-9990.356445	36493.933594	29106.527344	-13044.320312	24297.193359	-9135.335938	0.000000	1726714090055.570068	0.000000"
"22.000000	2768.240967	3920.517822	2611.868164	42261.085938	29417.328125	-133.506958	29881.351562	-9004.108398	0.000000	1726714090059.668945	0.000000"
"23.000000	4617.288574	7708.199219	10687.127930	42832.730469	29483.511719	7796.645020	31226.544922	-8929.542969	0.000000	1726714090063.769043	0.000000"
"24.000000	-2355.784180	-568.829468	-208.273529	37313.953125	29208.117188	-3388.702881	26043.511719	-9035.222656	0.000000	1726714090067.407959	0.000000"
"25.000000	-5807.250977	-6184.302246	-10640.390625	35479.121094	29067.703125	-13787.828125	23510.298828	-9134.195312	0.000000	1726714090071.517090	0.000000"
"26.000000	691.942871	1164.615112	-1580.961060	40767.164062	29333.912109	-4361.003418	28356.179688	-9029.791016	0.000000	1726714090075.154053	0.000000"
"27.000000	5418.732910	8250.072266	10737.151367	43653.355469	29525.355469	7927.670898	31828.232422	-8908.823242	0.000000	1726714090079.254883	0.000000"
"28.000000	-264.331696	2123.236572	3780.506592	38852.804688	29295.355469	671.155762	27584.373047	-8991.569336	0.000000	1726714090082.904053	0.000000"
"29.000000	-6036.915039	-6060.384277	-9620.614258	35033.605469	29048.324219	-12819.349609	23299.947266	-9125.277344	0.000000	1726714090087.016113	0.000000"
"30.000000	-1554.407227	-1629.240845	-5526.423340	39095.542969	29236.279297	-8383.377930	26671.082031	-9079.277344	0.000000	1726714090090.677002	0.000000"
"31.000000	5178.071777	7478.535156	8809.514648	43746.226562	29504.232422	6061.188965	31652.279297	-8938.595703	0.000000	1726714090094.775879	0.000000"
"0.000000	1769.319214	4580.877930	7108.188965	40434.835938	29365.427734	4093.319092	29076.687500	-8964.478516	0.000000	1726714090098.634033	0.000000"
"1.000000	-5322.508301	-4756.629395	-7070.101562	35391.277344	29088.154297	-10293.111328	23820.564453	-9101.942383	0.000000	1726714090102.784912	0.000000"
"2.000000	-3494.180664	-3924.340088	-8515.477539	37543.484375	29160.708984	-11466.376953	25216.183594	-9106.166992	0.000000	1726714090106.483887	0.000000"
"3.000000	4042.156006	5701.303711	5544.729492	43131.394531	29476.269531	2815.112549	30814.492188	-8962.735352	0.000000	1726714090110.596924	0.000000"
