-628.770124,-802.572862,-692.227798,-1129.186930,-437.115914,-336.808968,-479.968390,-561.622170,-297.103242,-323.918436,-374.931992,-356.651673,-293.999164,-432.552924,-550.495482,-321.594761,-417.656616,-730.930332,-370.778669,1483.283808,-1219.665458,1320.605680,792.700308,861.542600,1028.888636,931.924152
-626.695718,-799.531254,-688.896376,-1125.370326,-433.597716,-332.833565,-475.141209,-559.078605,-292.489963,-319.670909,-371.817936,-352.208159,-289.618370,-429.660459,-545.420286,-318.033624,-412.855082,-855.460567,-366.399132,1525.502297,-1217.083017,1321.479025,793.365066,862.156859,1030.210453,931.663745
-627.626196,-800.457703,-689.723290,-1126.840734,-433.774603,-332.835308,-475.469670,-559.406848,-292.450752,-319.730346,-371.921795,-352.273898,-289.566349,-429.821788,-545.737212,-318.000603,-412.983802,-856.405984,-366.670175,1540.622394,-1218.411753,1319.869272,791.770586,860.611931,1029.375385,929.677426
-628.105973,-800.937321,-690.149276,-1127.600208,-433.864693,-332.834953,-475.635582,-559.583564,-292.429733,-319.760993,-371.976004,-352.307252,-289.539685,-429.906372,-545.903641,-317.984993,-413.051770,-856.892258,-366.807347,1548.096704,-1219.104537,1319.024342,790.921416,859.800586,1029.369852,928.614936
-628.380357,-801.213681,-690.392813,-1128.036181,-433.915303,-332.833602,-475.727488,-559.691178,-292.416896,-319.778431,-372.007580,-352.325804,-289.524467,-429.955932,-546.001568,-317.977250,-413.092035,-857.169564,-366.883448,1552.078908,-1219.508241,1318.526512,790.428645,859.320833,1029.741118,927.971764
-628.453747,-801.290632,-690.457454,-1128.154924,-433.927176,-332.831331,-475.746878,-559.731237,-292.412212,-319.783065,-372.017017,-352.329931,-289.520598,-429.971287,-546.032347,-317.977298,-413.105214,-857.242009,-366.899873,1552.654374,-1219.628056,1318.370311,790.261877,859.169260,1030.482792,927.741222
-628.448922,-801.290211,-690.452637,-1128.150514,-433.924021,-332.828677,-475.738092,-559.744977,-292.410636,-319.782660,-372.017835,-352.328417,-289.521080,-429.973299,-546.037047,-317.980335,-413.107843,-857.234899,-366.893036,1551.899379,-1219.637848,1318.346169,790.232200,859.143739,1031.367853,927.670223
-628.360737,-801.207065,-690.373610,-1128.014508,-433.904797,-332.825643,-475.699225,-559.730701,-292.412447,-319.776951,-372.009471,-352.320923,-289.526275,-429.961129,-546.013893,-317.986607,-413.099239,-857.142808,-366.861452,1549.731931,-1219.529857,1318.463800,790.336748,859.254485,1032.406610,927.770456
-628.248194,-801.099913,-690.273015,-1127.840266,-433.880909,-332.822481,-475.651601,-559.708218,-292.415200,-319.769652,-371.998421,-352.311662,-289.532799,-429.944791,-545.982638,-317.993795,-413.087345,-857.026008,-366.822610,1547.148327,-1219.387778,1318.622213,790.487949,859.403843,1033.489726,927.919973
-628.277379,-801.133232,-690.298503,-1127.889591,-433.884282,-332.819960,-475.655106,-559.733301,-292.412225,-319.771392,-372.002871,-352.312579,-289.531336,-429.952501,-545.998622,-317.995469,-413.094504,-857.053567,-366.825815,1546.975730,-1219.445475,1318.534321,790.401426,859.323322,1034.312388,927.779488
